provider_state,billing_class,negotiated_rate
PA,institutional,10460.48
PA,institutional,13293.7
PA,institutional,29406.56
PA,institutional,38148.39
PA,institutional,7993.64
PA,institutional,9526.47
PA,institutional,10738.53
PA,institutional,16755.89
PA,institutional,41962.03
PA,institutional,54260.55
PA,institutional,8280.96
PA,institutional,9868.87
PA,institutional,11124.5
PA,institutional,17358.14
PA,institutional,43470.25
PA,institutional,56210.81
PA,institutional,5024.0
PA,institutional,6484.12
PA,institutional,7727.48
PA,institutional,8710.66
PA,institutional,13591.7
PA,institutional,34037.89
PA,institutional,44013.95
PA,institutional,12047.93
PA,institutional,14358.18
PA,institutional,16184.99
PA,institutional,25254.29
PA,institutional,63244.69
PA,institutional,81780.88
PA,institutional,4500.0
PA,institutional,66275.94
PA,institutional,67233.39
PA,institutional,105782.1
PA,institutional,266155.85
PA,institutional,363588.05
PA,institutional,12681.08
PA,institutional,12864.28
PA,institutional,20240.1
PA,institutional,50925.63
PA,institutional,69568.07
PA,institutional,7427.23
PA,institutional,8851.44
PA,institutional,9977.62
PA,institutional,15568.6
PA,institutional,38988.68
PA,institutional,50415.76
PA,institutional,10720.82
PA,institutional,12776.6
PA,institutional,14402.18
PA,institutional,22472.47
PA,institutional,56278.15
PA,institutional,72772.54
PA,institutional,3396.0
PA,institutional,3396.0
PA,institutional,3396.0
PA,institutional,3396.0
PA,institutional,3396.0
PA,institutional,3396.0
PA,institutional,3450.94
PA,institutional,8047.27
PA,institutional,10068.09
PA,institutional,65358.87
PA,institutional,17165.0
TX,institutional,0.0
TX,institutional,2039.0
TX,institutional,2039.0
TX,institutional,2039.0
TX,institutional,4721.36
TX,institutional,35977.94
LA,institutional,4720.0
MI,institutional,1564.1
FL,institutional,13845.0
FL,institutional,47925.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,11000.0
MI,institutional,1564.1
MS,institutional,4984.0
MI,institutional,1564.1
PA,institutional,11688.0
PA,institutional,15285.0
PA,institutional,23230.0
PA,institutional,59148.0
PA,institutional,68690.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
MO,institutional,2071.0
MI,institutional,133.62
MI,institutional,384.45
MI,institutional,1564.1
MI,institutional,3149.33
MI,institutional,4363.06
LA,institutional,2482.99
LA,institutional,5790.11
LA,institutional,7244.11
LA,institutional,47026.5
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
MI,institutional,134.96
MI,institutional,388.29
MI,institutional,1579.74
MI,institutional,3180.82
MI,institutional,4406.69
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,0.0
TX,institutional,490.0
TX,institutional,2968.63
TX,institutional,8591.31
TX,institutional,9182.93
TX,institutional,10875.85
TX,institutional,72635.94
MI,institutional,1564.1
MI,institutional,1564.1
TX,institutional,0.0
TX,institutional,2692.85
TX,institutional,26009.19
MI,institutional,1564.1
MI,institutional,1564.1
MI,institutional,1564.1
MI,institutional,1564.1
MI,institutional,1564.1
MI,institutional,1564.1
MI,institutional,2709.57
MI,institutional,3498.87
MI,institutional,3750.0
MI,institutional,3867.55
MI,institutional,5349.13
MI,institutional,8041.46
MI,institutional,8303.52
MI,institutional,13260.56
MI,institutional,15875.15
